"Package","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","Archs","MD5sum","NeedsCompilation","Additional_repositories","Author","Authors@R","Biarch","BugReports","BuildKeepEmpty","BuildManual","BuildResaveData","BuildVignettes","Built","ByteCompile","Classification/ACM","Classification/ACM-2012","Classification/JEL","Classification/MSC","Classification/MSC-2010","Collate","Collate.unix","Collate.windows","Contact","Copyright","Date","Date/Publication","Description","Encoding","KeepSource","Language","LazyData","LazyDataCompression","LazyLoad","MailingList","Maintainer","Note","Packaged","RdMacros","StagedInstall","SysDataCompression","SystemRequirements","Title","Type","URL","UseLTO","VignetteBuilder","ZipData","Path","X-CRAN-Comment","Published","Reverse depends","Reverse imports","Reverse linking to","Reverse suggests","Reverse enhances","Deadline","DOI","Count"
"arcgis","0.2.0",NA,NA,"arcgisgeocode (>= 0.1.0), arcgislayers (>= 0.2.0),
arcgisplaces (>= 0.1.0), arcgisutils (>= 0.3.0), cli, httr2 (>=
1.0.0), utils",NA,"arcpbf, calcite, testthat (>= 3.0.0)",NA,"Apache License (>= 2)",NA,NA,NA,NA,"0a50d486294435a585372fd48b56845c","no",NA,"Josiah Parry [aut, cre] (ORCID:
    <https://orcid.org/0000-0001-9910-865X>)","
    person(""Josiah"", ""Parry"", , ""josiah.parry@gmail.com"", role = c(""aut"", ""cre""),
           comment = c(ORCID = ""0000-0001-9910-865X""))",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-04-25 12:10:05 UTC","Provides easy installation and loading of core ArcGIS
    location services packages 'arcgislayers', 'arcgisutils',
    'arcgisgeocode', and 'arcgisplaces'. Enabling developers to interact
    with spatial data and services from 'ArcGIS Online', 'ArcGIS
    Enterprise', and 'ArcGIS Platform'. Learn more about the 'arcgis'
    meta-package at <https://developers.arcgis.com/r-bridge/>.","UTF-8",NA,"en",NA,NA,NA,NA,"Josiah Parry <josiah.parry@gmail.com>",NA,"2025-04-23 20:02:10 UTC; josiahparry",NA,NA,NA,"Cargo (Rust's package manager), rustc","ArcGIS Location Services Meta-Package",NA,"https://github.com/R-ArcGIS/arcgis/,
https://developers.arcgis.com/r-bridge/",NA,NA,NA,NA,NA,"2025-04-25",NA,NA,NA,NA,NA,NA,"10.32614/CRAN.package.arcgis",7639
"arcgisgeocode","0.4.0",NA,"R (>= 4.2)","arcgisutils (>= 0.3.3.9000), cli, httr2 (>= 1.1.1), jsonify,
RcppSimdJson (>= 0.1.13), rlang (>= 1.1.0), sf",NA,"data.table, dplyr, testthat (>= 3.0.0)",NA,"Apache License (>= 2)",NA,NA,NA,NA,"dad4937a3546881ac938166892e7637a","yes",NA,"Josiah Parry [aut, cre] (ORCID:
    <https://orcid.org/0000-0001-9910-865X>)","
    person(""Josiah"", ""Parry"", , ""josiah.parry@gmail.com"", role = c(""aut"", ""cre""),
           comment = c(ORCID = ""0000-0001-9910-865X""))",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-10-07 05:10:02 UTC","A very fast and robust interface to ArcGIS 'Geocoding
    Services'. Provides capabilities for reverse geocoding, finding
    address candidates, character-by-character search autosuggestion, and
    batch geocoding. The public 'ArcGIS World Geocoder' is accessible for
    free use via 'arcgisgeocode' for all services except batch geocoding.
    'arcgisgeocode' also integrates with 'arcgisutils' to provide access
    to custom locators or private 'ArcGIS World Geocoder' hosted on
    'ArcGIS Enterprise'. Learn more in the 'Geocode service' API reference
    <https://developers.arcgis.com/rest/geocode/api-reference/overview-world-geocoding-service.htm>.","UTF-8",NA,"en","true",NA,NA,NA,"Josiah Parry <josiah.parry@gmail.com>",NA,"2025-10-06 18:13:20 UTC; josiahparry",NA,NA,NA,"Cargo (Rust's package manager), rustc >= 1.67, xz","A Robust Interface to ArcGIS 'Geocoding Services'",NA,"https://github.com/r-arcgis/arcgisgeocode,
https://developers.arcgis.com/r-bridge/api-reference/arcgisgeocode",NA,NA,NA,NA,NA,"2025-10-07",NA,"arcgis",NA,NA,NA,NA,"10.32614/CRAN.package.arcgisgeocode",9010
"arcgisplaces","0.1.2",NA,"R (>= 4.2)","arcgisutils (>= 0.3.0), cli, httr2 (>= 1.0.5), rlang, wk",NA,"sf",NA,"Apache License (>= 2)",NA,NA,NA,NA,"39cba530796530bd1ff5b951000a57b0","yes",NA,"Josiah Parry [aut, cre] (ORCID:
    <https://orcid.org/0000-0001-9910-865X>)","
    person(""Josiah"", ""Parry"", , ""josiah.parry@gmail.com"", role = c(""aut"", ""cre""),
           comment = c(ORCID = ""0000-0001-9910-865X""))",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-04-10 16:20:02 UTC","The ArcGIS 'Places service' is a ready-to-use location
    service that can search for businesses and geographic locations around
    the world. It allows you to find, locate, and discover detailed
    information about each place. Query for places near a point, within a
    bounding box, filter based on categories, or provide search text.
    'arcgisplaces' integrates with 'sf' for out of the box compatibility
    with other spatial libraries. Learn more in the 'Places service' API reference <https://developers.arcgis.com/rest/places/>.","UTF-8",NA,"en","true",NA,NA,NA,"Josiah Parry <josiah.parry@gmail.com>",NA,"2025-04-10 15:14:24 UTC; josiahparry",NA,NA,NA,"Cargo (Rust's package manager), rustc, OpenSSL","Search for POIs using ArcGIS 'Places Service'",NA,"https://github.com/R-ArcGIS/arcgisplaces, https://developers.arcgis.com/r-bridge/api-reference/arcgisplaces, https://r.esri.com/arcgisplaces",NA,NA,NA,NA,NA,"2025-04-10",NA,"arcgis",NA,NA,NA,NA,"10.32614/CRAN.package.arcgisplaces",80350
"arcgisutils","0.4.0",NA,"R (>= 4.2)","cli, httr2 (>= 1.0.5), R6, RcppSimdJson, rlang, S7, sf, utils,
yyjsonr, lifecycle",NA,"arcgisbinding, collapse (>= 2.0.0), data.table, jsonify,
testthat (>= 3.0.0), curl, vctrs",NA,"Apache License (>= 2)",NA,NA,NA,NA,"5786e53ab913b0e936d748c59d920d50","yes",NA,"Josiah Parry [aut, cre] (ORCID:
    <https://orcid.org/0000-0001-9910-865X>),
  Kenneth Vernon [ctb] (ORCID: <https://orcid.org/0000-0003-0098-5092>),
  Martha Bass [ctb] (ORCID: <https://orcid.org/0009-0004-0268-5426>),
  Eli Pousson [ctb] (ORCID: <https://orcid.org/0000-0001-8280-1706>)","c(
    person(""Josiah"", ""Parry"", , ""josiah.parry@gmail.com"", role = c(""aut"", ""cre""),
           comment = c(ORCID = ""0000-0001-9910-865X"")),
    person(""Kenneth"", ""Vernon"", , ""kenneth.b.vernon@gmail.com"", role = ""ctb"",
           comment = c(ORCID = ""0000-0003-0098-5092"")),
    person(""Martha"", ""Bass"", role = ""ctb"",
           comment = c(ORCID = ""0009-0004-0268-5426"")),
    person(""Eli"", ""Pousson"", , ""eli.pousson@gmail.com"", role = ""ctb"",
           comment = c(ORCID = ""0000-0001-8280-1706""))
  )",NA,"https://github.com/R-ArcGIS/arcgisutils/issues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-09-18 05:10:35 UTC","Developer oriented utility functions designed to be used as
    the building blocks of R packages that work with ArcGIS Location
    Services. It provides functionality for authorization, Esri JSON
    construction and parsing, as well as other utilities pertaining to
    geometry and Esri type conversions. To support 'ArcGIS Pro' users,
    authorization can be done via 'arcgisbinding'. Installation
    instructions for 'arcgisbinding' can be found at
    <https://developers.arcgis.com/r-bridge/installation/>.","UTF-8",NA,"en",NA,NA,NA,NA,"Josiah Parry <josiah.parry@gmail.com>",NA,"2025-09-17 19:20:32 UTC; josiahparry",NA,NA,NA,"Cargo (Rust's package manager), rustc >= 1.67, xz","R-ArcGIS Bridge Utility Functions",NA,"https://github.com/R-ArcGIS/arcgisutils,
https://developers.arcgis.com/r-bridge/api-reference/arcgisutils/",NA,NA,NA,NA,NA,"2025-09-18",NA,"arcgis, arcgisgeocode, arcgislayers, arcgisplaces, arcpbf",NA,NA,NA,NA,"10.32614/CRAN.package.arcgisutils",21187
"arcpbf","0.1.7",NA,"R (>= 4.2)","arcgisutils (>= 0.3.0), rlang",NA,"httr2, sf, testthat (>= 3.0.0)",NA,"Apache License (>= 2)",NA,NA,NA,NA,"2bca292af978d872a417a71e5c69cbda","yes",NA,"Josiah Parry [aut, cre] (ORCID:
    <https://orcid.org/0000-0001-9910-865X>)","
    person(""Josiah"", ""Parry"", , ""josiah.parry@gmail.com"", role = c(""aut"", ""cre""),
           comment = c(ORCID = ""0000-0001-9910-865X""))",NA,"https://github.com/R-ArcGIS/arcpbf/issues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-04-10 21:20:02 UTC","Fast processing of ArcGIS FeatureCollection protocol buffers in R.
  It is designed to work seamlessly with 'httr2' and integrates with 'sf'. ","UTF-8",NA,"en",NA,NA,NA,NA,"Josiah Parry <josiah.parry@gmail.com>",NA,"2025-04-10 20:37:05 UTC; josiahparry",NA,NA,NA,"Cargo (Rust's package manager), rustc >= 1.70","Process ArcGIS Protocol Buffer FeatureCollections",NA,"https://r.esri.com/arcpbf/, https://github.com/R-ArcGIS/arcpbf",NA,NA,NA,NA,NA,"2025-04-10",NA,"arcgislayers",NA,"arcgis",NA,NA,"10.32614/CRAN.package.arcpbf",15282
"astgrepr","0.1.1",NA,"R (>= 4.2)","checkmate, rrapply, stats, yaml",NA,"knitr, rmarkdown, rstudioapi, spelling, tinytest",NA,"MIT + file LICENSE",NA,NA,NA,NA,"94a1531bbe0feab6c4002a65df58d763","yes",NA,"Etienne Bacher [aut, cre, cph]","
    person(given = ""Etienne"",
           family = ""Bacher"",
           role = c(""aut"", ""cre"", ""cph""),
           email = ""etienne.bacher@protonmail.com"")",NA,"https://github.com/etiennebacher/astgrepr/issues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-06-07 23:30:13 UTC","Parsing R code is key to build tools such as linters and stylers.
    This package provides a binding to the 'Rust' crate 'ast-grep' so that one
    can parse and explore R code.","UTF-8",NA,"en-US",NA,NA,NA,NA,"Etienne Bacher <etienne.bacher@protonmail.com>",NA,"2025-06-07 14:01:36 UTC; etienne",NA,NA,NA,"Cargo (Rust's package manager), rustc (>= 1.78.0)","Parse and Manipulate R Code","Package","https://github.com/etiennebacher/astgrepr,
https://astgrepr.etiennebacher.com/",NA,"knitr",NA,NA,NA,"2025-06-07",NA,"flir",NA,NA,NA,NA,"10.32614/CRAN.package.astgrepr",1646
"awdb","0.1.3",NA,"R (>= 4.2)","cli, httr2, rlang (>= 1.1.0), sf",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"1e8904ac866f33b0b52a71381bf0d53d","yes",NA,"Kenneth Blake Vernon [aut, cre, cph] (ORCID:
    <https://orcid.org/0000-0003-0098-5092>)","
    person(""Kenneth Blake"", ""Vernon"", , 
           ""kenneth.b.vernon@gmail.com"", 
           role = c(""aut"", ""cre"", ""cph""),
           comment = c(ORCID = ""0000-0003-0098-5092""))",NA,"https://github.com/kbvernon/awdb/issues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-08-23 20:40:02 UTC","Query the four endpoints of the 'Air and Water Database (AWDB) REST
    API' maintained by the National Water and Climate Center (NWCC) at the 
    United States Department of Agriculture (USDA). Endpoints include data, 
    forecast, reference-data, and metadata. The package is extremely light 
    weight, with 'Rust' via 'extendr' doing most of the heavy lifting to 
    deserialize and flatten deeply nested 'JSON' responses. The AWDB can be 
    found at <https://wcc.sc.egov.usda.gov/awdbRestApi/swagger-ui/index.html>.","UTF-8",NA,NA,"true",NA,NA,NA,"Kenneth Blake Vernon <kenneth.b.vernon@gmail.com>",NA,"2025-08-23 20:28:12 UTC; kenne",NA,NA,NA,"Cargo (Rust's package manager), rustc","Query the USDA NWCC Air and Water Database REST API",NA,"https://github.com/kbvernon/awdb, https://kbvernon.github.io/awdb/",NA,NA,NA,NA,NA,"2025-08-23",NA,NA,NA,NA,NA,NA,"10.32614/CRAN.package.awdb",2287
"b64","0.1.7",NA,"R (>= 4.2)",NA,NA,"blob, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"cbe9e9b8f69a440c6d441256992a8adf","yes",NA,"Josiah Parry [aut, cre] (ORCID:
    <https://orcid.org/0000-0001-9910-865X>),
  Etienne Bacher [ctb] (ORCID: <https://orcid.org/0000-0002-9271-5075>)","c(
    person(""Josiah"", ""Parry"", , ""josiah.parry@gmail.com"", role = c(""aut"", ""cre""),
           comment = c(ORCID = ""0000-0001-9910-865X"")),
    person(""Etienne"", ""Bacher"", email = ""etienne.bacher@protonmail.com"", role = ""ctb"",
           comment = c(ORCID = ""0000-0002-9271-5075"")))",NA,"https://github.com/extendr/b64/issues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-07-14 16:30:06 UTC","Provides a fast, lightweight, and vectorized base 64 engine
    to encode and decode character and raw vectors as well as files stored
    on disk. Common base 64 alphabets are supported out of the box
    including the standard, URL-safe, bcrypt, crypt, 'BinHex', and
    IMAP-modified UTF-7 alphabets. Custom engines can be created to
    support unique base 64 encoding and decoding needs.","UTF-8",NA,"en",NA,NA,NA,NA,"Josiah Parry <josiah.parry@gmail.com>",NA,"2025-07-14 16:06:04 UTC; josiahparry",NA,NA,NA,"Cargo (Rust's package manager), rustc, xz","Fast and Vectorized Base 64 Engine",NA,"https://extendr.github.io/b64/, https://github.com/extendr/b64",NA,NA,NA,NA,NA,"2025-07-14",NA,NA,NA,NA,NA,NA,"10.32614/CRAN.package.b64",40810
"ciflyr","0.1.2",NA,"R (>= 4.2)",NA,NA,"testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"bfe4f28b5cd91b0cb8521fc98f74c126","yes",NA,"Marcel Wienöbst [aut, cre, cph],
  Sebastian Weichwald [aut],
  Leonard Henckel [aut],
  Authors of the dependency Rust crates [ctb] (see inst/AUTHORS file for
    details)","c(
    person(""Marcel"", ""Wienöbst"", email = ""marcel.wienoebst@gmx.de"", role = c(""aut"", ""cre"", ""cph"")),
    person(""Sebastian"", ""Weichwald"", role = ""aut""),
    person(""Leonard"", ""Henckel"", role = ""aut""),
    person(""Authors of the dependency Rust crates"", role = c(""ctb""), comment = ""see inst/AUTHORS file for details""))",NA,"https://github.com/mwien/CIfly/issues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-10-05 16:00:02 UTC","Provides a framework for specifying and running flexible
    linear-time reachability-based algorithms for graphical causal inference. Rule
    tables are used to encode and customize the reachability algorithm to typical
    causal and probabilistic reasoning tasks such as finding d-connected nodes or
    more advanced applications. For more information, see Wienöbst, Weichwald and
    Henckel (2025) <doi:10.48550/arXiv.2506.15758>.","UTF-8",NA,NA,NA,NA,NA,NA,"Marcel Wienöbst <marcel.wienoebst@gmx.de>",NA,"2025-10-05 15:45:44 UTC; marcel",NA,NA,NA,"Cargo (Rust's package manager), rustc","Reachability-Based Primitives for Graphical Causal Inference",NA,"https://cifly.dev/, https://github.com/mwien/CIfly",NA,NA,NA,NA,NA,"2025-10-05",NA,NA,NA,NA,NA,NA,"10.32614/CRAN.package.ciflyr",755
"datefixR","2.0.0",NA,"R (>= 4.2)","lifecycle, rlang",NA,"DT, future, future.apply, htmltools, knitr, parsedate,
pkgbuild, png, readr, readxl, rmarkdown, shiny, shinytest2,
spelling, testthat (>= 3.0.0), withr",NA,"GPL (>= 3)",NA,NA,NA,NA,"cbb7cc9b98dcf77f852e2bd4efd4f706","yes",NA,"Nathan Constantine-Cooke [aut, cre] (ORCID:
    <https://orcid.org/0000-0002-4437-8713>),
  Jonathan Kitt [ctb, trl],
  Antonio J. Pérez-Luque [ctb, trl] (ORCID:
    <https://orcid.org/0000-0002-1747-0469>),
  Daniel Possenriede [ctb, trl] (ORCID:
    <https://orcid.org/0000-0002-6738-9845>),
  Michal Lauer [ctb, trl],
  Kaique dos S. Alves [rev] (ORCID:
    <https://orcid.org/0000-0001-9187-0252>),
  Al-Ahmadgaid B. Asaad [rev] (ORCID:
    <https://orcid.org/0000-0003-3784-8593>),
  Anatoly Tsyplenkov [ctb, trl] (ORCID:
    <https://orcid.org/0000-0003-4144-8402>),
  Chitra M. Saraswati [ctb, trl] (ORCID:
    <https://orcid.org/0000-0002-8159-0414>)","c(
    person(""Nathan"", ""Constantine-Cooke"", , ""nathan.constantine-cooke@ed.ac.uk"", role = c(""aut"", ""cre""),
           comment = c(ORCID = ""0000-0002-4437-8713"")),
    person(""Jonathan"", ""Kitt"", , ""jonathan.kitt@protonmail.com"", role = c(""ctb"", ""trl"")),
    person(""Antonio J."", ""Pérez-Luque"", , ""ajpelu@gmail.com"", role = c(""ctb"", ""trl""),
           comment = c(ORCID = ""0000-0002-1747-0469"")),
    person(""Daniel"", ""Possenriede"", , ""possenriede+r@gmail.com"", role = c(""ctb"", ""trl""),
           comment = c(ORCID = ""0000-0002-6738-9845"")),
    person(""Michal"", ""Lauer"", , ""michal.lauer.25@gmail.com"", role = c(""ctb"", ""trl"")),
    person(""Kaique dos S."", ""Alves"", , ""kaiquedsalves@gmail.com"", role = ""rev"",
           comment = c(ORCID = ""0000-0001-9187-0252"")),
    person(""Al-Ahmadgaid B."", ""Asaad"", , ""alahmadgaid@gmail.com"", role = ""rev"",
           comment = c(ORCID = ""0000-0003-3784-8593"")),
    person(""Anatoly"", ""Tsyplenkov"", , ""atsyplenkov@gmail.com"", role = c(""ctb"", ""trl""),
           comment = c(ORCID = ""0000-0003-4144-8402"")),
    person(""Chitra M."", ""Saraswati"", , ""chitra.m.saraswati@gmail.com"", role = c(""ctb"", ""trl""),
           comment = c(ORCID = ""0000-0002-8159-0414""))
  )",NA,"https://github.com/ropensci/datefixR/issues",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-08-22 10:50:08 UTC","There are many different formats dates are commonly
    represented with: the order of day, month, or year can differ,
    different separators (""-"", ""/"", or whitespace) can be used, months can
    be numerical, names, or abbreviations and year given as two digits or
    four. 'datefixR' takes dates in all these different formats and
    converts them to R's built-in date class. If 'datefixR' cannot
    standardize a date, such as because it is too malformed, then the user
    is told which date cannot be standardized and the corresponding ID for
    the row. 'datefixR' also allows the imputation of missing days and
    months with user-controlled behavior.","UTF-8",NA,"en-US","true",NA,NA,NA,"Nathan Constantine-Cooke <nathan.constantine-cooke@ed.ac.uk>",NA,"2025-08-22 10:32:39 UTC; nconsta2",NA,NA,NA,"Cargo (Rust's package manager), rustc","Standardize Dates in Different Formats or with Missing Data",NA,"https://docs.ropensci.org/datefixR/,
https://github.com/ropensci/datefixR",NA,"knitr",NA,NA,NA,"2025-08-22",NA,NA,NA,NA,NA,NA,"10.32614/CRAN.package.datefixR",15301
