"Package","Title","Author","Description","URL","Count"
"arcgis","ArcGIS Location Services Meta-Package","Josiah Parry","Provides easy installation and loading of core ArcGIS
    location services packages 'arcgislayers', 'arcgisutils',
    'arcgisgeocode', and 'arcgisplaces'. Enabling developers to interact
    with spatial data and services from 'ArcGIS Online', 'ArcGIS
    Enterprise', and 'ArcGIS Platform'. Learn more about the 'arcgis'
    meta-package at <https://developers.arcgis.com/r-bridge/>.","https://github.com/R-ArcGIS/arcgis/",11618
"arcgisgeocode","A Robust Interface to ArcGIS 'Geocoding Services'","Josiah Parry","A very fast and robust interface to ArcGIS 'Geocoding
    Services'. Provides capabilities for reverse geocoding, finding
    address candidates, character-by-character search autosuggestion, and
    batch geocoding. The public 'ArcGIS World Geocoder' is accessible for
    free use via 'arcgisgeocode' for all services except batch geocoding.
    'arcgisgeocode' also integrates with 'arcgisutils' to provide access
    to custom locators or private 'ArcGIS World Geocoder' hosted on
    'ArcGIS Enterprise'. Learn more in the 'Geocode service' API reference
    <https://developers.arcgis.com/rest/geocode/api-reference/overview-world-geocoding-service.htm>.","https://github.com/r-arcgis/arcgisgeocode",11563
"arcgisplaces","Search for POIs using ArcGIS 'Places Service'","Josiah Parry","The ArcGIS 'Places service' is a ready-to-use location
    service that can search for businesses and geographic locations around
    the world. It allows you to find, locate, and discover detailed
    information about each place. Query for places near a point, within a
    bounding box, filter based on categories, or provide search text.
    'arcgisplaces' integrates with 'sf' for out of the box compatibility
    with other spatial libraries. Learn more in the 'Places service' API reference <https://developers.arcgis.com/rest/places/>.","https://github.com/R-ArcGIS/arcgisplaces",154918
"arcgisutils","R-ArcGIS Bridge Utility Functions","Josiah Parry","Developer oriented utility functions designed to be used as
    the building blocks of R packages that work with ArcGIS Location
    Services. It provides functionality for authorization, Esri JSON
    construction and parsing, as well as other utilities pertaining to
    geometry and Esri type conversions. To support 'ArcGIS Pro' users,
    authorization can be done via 'arcgisbinding'. Installation
    instructions for 'arcgisbinding' can be found at
    <https://developers.arcgis.com/r-bridge/installation/>.","https://github.com/R-ArcGIS/arcgisutils",25965
"arcpbf","Process ArcGIS Protocol Buffer FeatureCollections","Josiah Parry","Fast processing of ArcGIS FeatureCollection protocol buffers in R.
  It is designed to work seamlessly with 'httr2' and integrates with 'sf'. ","https://r.esri.com/arcpbf/",19985
"astgrepr","Parse and Manipulate R Code","Etienne Bacher","Parsing R code is key to build tools such as linters and stylers.
    This package provides a binding to the 'Rust' crate 'ast-grep' so that one
    can parse and explore R code.","https://github.com/etiennebacher/astgrepr",2828
"awdb","Query the USDA NWCC Air and Water Database REST API","Kenneth Blake Vernon","Query the four endpoints of the 'Air and Water Database (AWDB) REST
    API' maintained by the National Water and Climate Center (NWCC) at the 
    United States Department of Agriculture (USDA). Endpoints include data, 
    forecast, reference-data, and metadata. The package is extremely light 
    weight, with 'Rust' via 'extendr' doing most of the heavy lifting to 
    deserialize and flatten deeply nested 'JSON' responses. The AWDB can be 
    found at <https://wcc.sc.egov.usda.gov/awdbRestApi/swagger-ui/index.html>.","https://github.com/kbvernon/awdb",4534
"b32","Fast and Vectorized Base32 Encoding","Josiah Parry","Fast, dependency free, and vectorized base32 encoding and
    decoding. 'b32' supports the Crockford, Z, RFC 4648 lower, hex, and
    lower hex alphabets.","https://github.com/extendr/b32",353
"b64","Fast and Vectorized Base 64 Engine","Josiah Parry","Provides a fast, lightweight, and vectorized base 64 engine
    to encode and decode character and raw vectors as well as files stored
    on disk. Common base 64 alphabets are supported out of the box
    including the standard, URL-safe, bcrypt, crypt, 'BinHex', and
    IMAP-modified UTF-7 alphabets. Custom engines can be created to
    support unique base 64 encoding and decoding needs.","https://extendr.github.io/b64/",42285
"caugi","Causal Graph Interface","Frederik Fabricius-Bjerre","Create, query, and modify causal graphs. 'caugi' (Causal Graph
    Interface) is a causality-first, high performance graph package that
    provides a simple interface to build, structure, and examine causal
    relationships.","https://caugi.org/",3340
"ciflyr","Reachability-Based Primitives for Graphical Causal Inference","Marcel Wienöbst","Provides a framework for specifying and running flexible
    linear-time reachability-based algorithms for graphical causal inference. Rule
    tables are used to encode and customize the reachability algorithm to typical
    causal and probabilistic reasoning tasks such as finding d-connected nodes or
    more advanced applications. For more information, see Wienöbst, Weichwald and
    Henckel (2025) <doi:10.48550/arXiv.2506.15758>.","https://cifly.dev/",1401
"datefixR","Standardize Dates in Different Formats or with Missing Data","Nathan Constantine-Cooke","There are many different formats dates are commonly
    represented with: the order of day, month, or year can differ,
    different separators (""-"", ""/"", or whitespace) can be used, months can
    be numerical, names, or abbreviations and year given as two digits or
    four. 'datefixR' takes dates in all these different formats and
    converts them to R's built-in date class. If 'datefixR' cannot
    standardize a date, such as because it is too malformed, then the user
    is told which date cannot be standardized and the corresponding ID for
    the row. 'datefixR' also allows the imputation of missing days and
    months with user-controlled behavior.","https://docs.ropensci.org/datefixR/",18335
